96;1506;794;59;1.417;1004;0;37;3740;8.8;-0.04;-4 
792;642;1506;64;1.417;1003;0;37;3730;8.4;-0.32;-3.4 
3207;2445;642;59;1.464;1007;0;37;3760;8.6;0.68;-3.8 
3554;330;2445;61;1.464;1007;0;37;3750;8.4;-0.2;-3.6 
6311;2639;330;56;1.464;1006;0;37.1;3750;8.4;0.04;-4.6 
7685;1573;2639;54;1.464;1006;0;37.1;3740;8.2;-0.84;-4.8 
9753;1799;1573;54;1.458;1006;0;37.1;3750;8.6;-0.72;-4.2 
10437;899;1799;53;1.458;1005;0;37.1;3720;8.4;-1.04;-4.6 
11465;824;899;53;1.44;1005;0;37;3730;8.6;-0.84;-4.4 
12153;858;824;52;1.44;1007;0;37;3730;8;-0.2;-5 
12847;810;858;52;1.42;1007;0;37;3740;8.4;-0.08;-4.4 
15268;2415;810;50;1.402;1004;0;37.1;3740;8.4;-1.28;-4.6 
16298;904;2415;49;1.402;1005;0;37.1;3740;8.2;-1.16;-4.4 
16993;895;904;49;1.465;1006;0;37.1;3730;8.4;-0.36;-4.6 
18020;797;895;49;1.442;1005;0;37.1;3750;8.4;0.12;-4.4 
18708;761;797;50;1.407;1005;0;37.1;3740;8.4;-0.04;-4.4 
19735;793;761;50;1.389;1006;0;37.1;3720;8.2;-0.76;-4.6 
21110;1567;793;48;1.389;1005;0;37.1;3740;8.4;-1.2;-4.6 
21795;865;1567;49;1.389;1005;0;37.1;3720;8.4;-1.12;-4.6 
22480;783;865;49;1.389;1006;0;37.1;3750;8.4;-1.32;-4.6 
23510;787;783;51;1.375;1004;0;37.1;3730;8.2;-0.6;-4.8 
24895;1444;787;49;1.356;1007;0;37.1;3750;8.4;-0.12;-4.6 
25581;706;1444;53;1.356;1005;0;37.1;3730;8.6;-0.04;-4.4 
26267;740;706;52;1.356;1004;0;37.1;3750;8.6;-0.24;-4.4 
29011;2394;740;53;1.341;1002;0;37.1;3730;8.8;-0.76;-4.8 
30727;2183;2394;51;1.341;1004;0;37.1;3730;8.6;-0.52;-4 
31761;705;2183;54;1.329;1004;0;37.1;3720;8.8;0.28;-4.6 
33146;1393;705;53;1.329;1003;0;37.1;3730;8.6;0.04;-4.2 
33827;782;1393;53;1.329;1003;0;37.1;3740;8.6;0.28;-4.6 
35543;1598;782;51;1.329;1004;0;37.1;3750;8.4;0;-4.2 
36233;729;1598;51;1.329;1004;0;37.1;3730;8.6;0;-4.2 
37603;1421;729;53;1.329;1004;0;37.1;3730;8.8;0.16;-4.2 
38290;718;1421;54;1.329;1003;0;37.1;3730;8.6;0.08;-4.2 
38990;688;718;54;1.315;1004;0;37.1;3730;8.6;0.08;-4.2 
39690;690;688;55;1.315;1004;0;37.1;3750;8.6;0.08;-4 
41405;1610;690;53;1.299;1004;0;37.1;3730;8.6;0.08;-4.2 
42780;1679;1610;51;1.351;1004;0;37.1;3750;8.6;0.16;-4.2 
44846;1809;1679;50;1.335;1003;0;37.1;3730;8.6;0.04;-4.2 
45541;909;1809;50;1.322;1004;0;37.1;3730;8.6;0.08;-4.2 
46575;781;909;50;1.314;1004;0;37.1;3730;8.4;0.16;-4.4 
47260;790;781;50;1.299;1003;0;37.1;3750;8.6;0.12;-4.4 
48292;863;790;51;1.289;1004;0;37.1;3740;8.2;0.16;-4.2 
48975;857;863;51;1.289;1004;0;37.1;3750;8.4;0.08;-4.2 
50006;780;857;51;1.275;1003;0;37.1;3750;8.4;0.12;-4.2 
