659;676;7323;27;1.225;1013;0.002;36.2;3750;9.8;-1.44;0.96 
1352;608;676;27;1.225;1012;0.001;36.2;3740;9.6;-1.12;0.92 
3439;1977;608;29;1.22;1019;0.001;36.2;3750;9.6;0.2;2.2 
3786;532;1977;32;1.22;1016;0;36.2;3740;9.2;-0.76;2 
6211;2383;532;31;1.345;1010;0;36.2;3750;9.2;-0.72;1.28 
10346;4190;2383;28;1.345;1025;0;36.2;3750;9.8;-0.28;-0.72 
11039;576;4190;28;1.345;1006;0;36.2;3760;8.8;-0.96;-1.04 
15852;4904;576;26;1.345;1039;0;36.2;3740;10.6;-1.64;1.56 
21388;5449;4904;23;1.345;1001;0;36.2;3750;8.4;-0.8;5.4 
21729;621;5449;23;1.333;1002;0;36.3;3740;8.4;-1;5.4 
25173;3061;621;24;1.333;1003;0;36.3;3740;8;0.2;5.4 
28293;3413;3061;23;1.333;1003;0;36.2;3760;9.2;-1.2;4.6 
28977;768;3413;23;1.322;998;0;36.2;3760;8.6;-1.56;4.6 
30371;1095;768;24;1.322;1012;0;36.3;3740;8.6;-1.96;4.6 
35097;610;4143;24;1.45;1006;0;36.3;3750;9.4;-1.84;4.4 
35097;4143;1095;24;1.45;1006;0;36.3;3750;9.4;-1.84;4.4 
37086;693;1386;25;1.45;1004;0;36.3;3760;8.4;-1.44;4.4 
37086;1386;610;25;1.45;1004;0;36.3;3760;8.4;-1.44;4.4 
39945;2787;693;25;1.45;1000;0;36.3;3740;7.6;-0.24;5.6 
45103;4881;2787;26;1.45;1007;0;36.4;3750;8.6;-2.4;4.2 
46083;638;4881;26;1.45;1007;0;36.4;3750;8.8;-1.92;4 
48094;2225;638;25;1.552;1011;0;36.3;3740;8.6;-1.32;4.2 
49084;840;2225;26;1.607;1011;0;36.3;3750;8.8;-1.44;4.4 
50091;1500;840;25;1.607;1012;0;36.3;3760;8.8;-1.44;4.4 
51095;662;1500;27;1.607;1009;0;36.3;3750;8.8;-1.12;4.2 
52067;665;662;29;1.577;1016;0;36.3;3750;8.8;-2.2;4 
54027;2098;665;28;1.577;1010;0;36.4;3750;8.8;-3;4.2 
54713;1351;2098;30;1.575;1011;0;36.4;3740;8.8;-2.2;4.2 
58053;2801;1351;33;1.575;1013;0;36.3;3750;8.6;-2.2;3.8 
59081;282;924;35;1.575;1011;0;36.3;3760;8.6;-1.68;3.8 
59081;924;2801;35;1.575;1011;0;36.3;3760;8.6;-1.68;3.8 
70090;11009;282;29;1.575;1015;0;36.3;3750;8.6;-1.36;4.4 
71090;673;11009;29;1.575;1015;0;36.3;3750;8.6;-1.32;4.4 
73091;2374;673;28;1.673;1015;0;36.3;3730;8.8;-1.32;4.4 
74057;896;2374;30;1.722;1015;0;36.4;3740;8.8;-1.52;4.2 
75108;696;769;30;1.694;1016;0;36.3;3750;8.8;-1.28;4.4 
75108;769;896;30;1.694;1016;0;36.3;3750;8.8;-1.28;4.4 
77092;1531;696;30;1.665;1017;0;36.3;3750;8.6;-1.44;4.4 
79632;2759;1531;30;1.665;1017;0;36.4;3750;8.8;-1.4;4.4 
80263;952;2759;33;1.665;1017;0;36.4;3750;8.8;-1.4;4.4 
81302;816;952;33;1.64;1016;0;36.4;3740;8.6;-1.56;4.6 
81987;787;816;34;1.64;1016;0;36.4;3740;8.6;-1.48;4.6 
85779;3637;787;32;1.61;1016;0;36.4;3760;8.6;-1.48;4.6 
89892;4409;3637;29;1.61;1017;0;36.4;3740;8.6;-1.52;4.4 
92351;2174;4409;28;1.59;1016;0;36.4;3740;8.8;-1.44;4.4 
93702;1532;2174;28;1.59;1016;0;36.4;3760;8.8;-1.4;4.6 
95428;1728;1532;28;1.581;1017;0;36.4;3730;8.6;-1.44;4.4 
96472;942;1728;28;1.558;1017;0;36.4;3750;8.8;-1.36;4.4 
98178;1832;942;29;1.558;1016;0;36.4;3740;8.8;-1.44;4.8 
100589;2568;1832;28;1.558;1017;0;36.4;3740;8.6;-1.36;4.4 
102306;1555;2568;27;1.551;1017;0;36.4;3760;9.8;-1.2;0.64 
105058;2485;1555;34;1.558;1025;0;36.4;3750;8.8;-1.68;-3.6 
107108;2108;2485;32;1.539;1034;0;36.4;3750;8.6;-1.6;-4 
113967;6940;2108;29;1.539;1038;0;36.5;3740;8.8;-1.84;-3.6 
117417;3606;6940;27;1.539;1038;0;36.4;3730;8.8;-1.64;-3.6 
120200;2678;3606;26;1.539;1039;0;36.4;3750;8.8;-1.64;-3.6 
121219;1003;2678;26;1.529;1040;0;36.4;3760;8.6;-1.64;-3.6 
134651;13233;1003;20;1.586;1041;0;36.5;3750;8.6;-1.6;-3.6 
140157;5653;13233;19;1.624;1040;0;36.5;3740;8.8;-1.6;-3.6 
143613;3781;5653;18;1.624;1041;0;36.5;3730;8.8;-1.56;-3.8 
145680;1863;3781;18;1.618;1041;0;36.5;3750;8.8;-1.76;-3.6 
152239;6662;1863;17;1.618;1041;0;36.5;3730;8.6;-1.68;-3.8 
157420;4801;6662;16;1.699;1041;0;36.5;3730;8.8;-1.64;-3.6 
160520;3487;4801;16;1.699;1041;0;36.6;3740;8.8;-1.72;-3.4 
169458;8679;3487;15;1.723;1040;0;36.6;3740;8.8;-1.68;-3.6 
171175;1681;8679;15;1.723;1039;0;36.6;3740;8.6;-1.72;-3.4 
174956;3758;1681;15;1.723;1040;0;36.5;3730;8.6;-1.72;-3.6 
179784;4916;3758;14;1.723;1039;0;36.6;3740;8.8;-1.72;-3.6 
183229;3659;4916;14;1.703;1038;0;36.6;3740;8.8;-1.84;-3.4 
195963;12509;3659;12;1.771;1038;0;36.6;3740;8.6;-1.8;-3.6 
199414;3449;12509;12;1.771;1038;0;36.7;3740;8.8;-1.64;-3.6 
201143;1658;3449;12;1.864;1038;0;36.6;3750;8.8;-1.48;-3.6 
203918;2758;1658;12;1.864;1037;0;36.6;3750;9.2;-1.28;-2.8 
205962;2230;2758;13;1.823;1036;0;36.6;3730;9.2;-1.2;-2.8 
208363;2468;2230;13;1.823;1038;0;36.6;3730;8.8;-1.04;-3.6 
210435;1849;2468;13;1.787;1036;0;36.6;3730;8.8;-1.4;-3.6 
212500;2099;1849;13;1.733;1036;0;36.7;3750;8.6;-0.96;-3.6 
214216;1672;2099;15;1.709;1036;0;36.6;3740;8.6;-2.2;-3.2 
215940;1869;1672;15;1.709;1036;0;36.6;3740;8.8;-2.2;-3.2 
222493;6418;1869;15;1.767;1037;0;36.6;3740;8.8;-2.2;-3.4 
224564;1947;6418;15;1.767;1034;0;36.7;3740;9;-1.6;-3.2 
225258;932;1947;16;1.767;1034;0;36.7;3740;9;-1.72;-3 
226623;1418;932;17;1.767;1034;0;36.7;3740;9;-1.64;-3.2 
228006;1256;1418;17;1.724;1035;0;36.7;3740;9;-1.84;-3 
230076;2050;1256;19;1.719;1035;0;36.7;3750;8.8;-1.72;-3.4 
230761;1001;2050;20;1.719;1035;0;36.7;3730;8.8;-1.72;-3.2 
233878;2989;1001;20;1.719;1034;0;36.7;3730;8.8;-1.72;-3.2 
239056;4914;2989;20;1.716;1033;0;36.7;3760;9;-1.32;-3.2 
251430;12656;4914;17;1.716;1031;0;36.7;3740;9;-1.44;-3.2 
252460;944;12656;21;1.759;1031;0;36.7;3730;8.8;-1.36;-3.4 
255227;2727;944;21;1.759;1031;0;36.7;3760;9;-1.44;-3.4 
257300;2388;2727;21;1.759;1031;0;36.7;3740;9;-1.52;-3.2 
259027;1325;2388;21;1.728;1031;0;36.8;3740;9;-1.56;-3.2 
265567;6646;1325;20;1.728;1031;0;36.7;3740;9;-1.48;-3.2 
266597;813;6646;20;1.728;1030;0;36.8;3750;9;-1.56;-3.2 
267974;1655;813;20;1.728;1029;0;36.8;3740;8.8;-1.52;-3.2 
270037;1839;1655;20;1.728;1029;0;36.7;3740;8.8;-1.52;-3.4 
271074;1446;1839;20;1.697;1029;0;36.8;3730;9;-1.52;-3.2 
274183;2849;1446;20;1.676;1028;0;36.7;3740;9;-1.64;-3.2 
276971;2906;2849;21;1.676;1028;0;36.8;3740;8.8;-1.4;-3.4 
278012;912;2906;22;1.643;1028;0;36.8;3740;8.8;-1.6;-3.2 
279736;1816;912;21;1.643;1027;0;36.8;3740;9;-1.52;-3.2 
