time,bpm
22:25:44。28,90
25:45.0,86
25:45.7,86
25:46.4,80
25:47.2,76
25:48.0,80
25:48.8,73
25:49.6,73
25:50.4,80
25:54.4,91
25:55.1,84
25:55.9,82
25:56.6,81
25:57.3,89
25:58.0,83
25:58.7,84
25:59.4,85
26:00.2,79
26:01.0,73
26:01.7,85
26:02.5,79
26:06.6,78
26:07.4,76
26:08.1,89
26:08.8,86
26:09.5,86
26:10.2,86
26:10.9,90
26:11.5,89
26:12.2,91
26:12.8,95
26:13.5,90
26:14.2,88
26:14.9,83
26:15.6,83
26:16.4,78
26:17.2,72
26:18.1,68
26:18.9,75
26:19.7,75
26:20.5,75
26:21.3,80
26:22.0,78
26:22.8,77
26:23.6,76
26:24.4,78
26:25.1,77
26:25.9,78
26:26.8,72
26:27.6,71
26:28.5,69
26:29.4,66
26:30.2,72
26:31.0,75
26:31.8,74
26:32.6,73
26:33.4,80
26:34.1,82
26:34.9,79
26:35.7,77
26:36.4,78
26:37.2,80
26:37.9,87
26:38.5,88
26:39.2,87
26:40.0,79
26:40.8,77
26:41.6,76
26:42.3,83
26:43.0,80
26:43.8,78
26:44.5,85
26:45.2,84
26:45.9,82
26:46.7,82
26:47.5,75
26:48.3,73
26:49.0,80
26:49.8,81
26:50.5,80
26:51.3,75
26:52.1,74
26:52.9,78
26:53.6,84
26:54.4,80
26:55.2,77
26:56.0,71
26:58.7,65
26:59.6,66
27:00.5,66
27:01.4,67
27:02.2,71
27:03.1,71
27:03.9,73
27:04.7,78
27:05.4,76
27:06.3,72
27:07.1,69
27:08.0,71
27:08.8,79
27:09.5,75
27:10.4,71
27:11.3,66
27:12.2,68
27:13.1,63
27:14.0,70
27:14.8,75
27:15.6,76
27:16.4,76
27:17.2,74
27:17.9,78
27:18.8,75
27:19.6,72
27:20.4,76
27:21.2,74
27:22.0,72
27:22.8,75
27:23.6,75
27:24.4,79
27:25.1,84
27:25.8,87
27:26.5,85
27:27.2,82
27:28.0,80
27:28.7,83
27:29.4,85
27:30.1,88
27:30.8,93
27:31.4,93
27:32.0,97
27:32.6,97
27:33.3,88
27:34.0,83
27:34.8,80
27:35.6,69
27:36.5,74
27:37.3,71
27:38.2,70
27:38.9,80
27:39.7,79
27:40.5,76
27:41.2,83
27:41.9,83
27:42.6,90
27:43.3,89
27:44.0,81
27:44.8,76
27:45.6,74
27:46.5,70
27:47.4,67
27:50.0,74
27:50.8,73
27:51.7,69
27:52.6,66
27:53.5,68
27:54.3,73
27:55.0,83
27:55.7,87
27:56.5,81
27:57.3,73
27:58.1,73
27:59.0,66
27:59.9,65
28:00.8,67
28:01.7,73
28:02.5,72
28:03.2,79
28:04.0,83
28:04.7,78
28:05.6,72
28:06.4,70
28:07.2,76
28:08.0,74
28:08.9,71
28:09.7,74
28:10.5,74
28:11.3,73
28:12.1,76
28:12.8,82
28:13.5,86
28:14.2,86
28:15.0,81
28:15.7,78
28:16.4,85
28:17.1,86
28:17.9,83
28:18.6,78
28:19.4,76
28:20.2,78
28:20.9,80
28:21.7,78
28:22.4,87
28:23.1,89
28:23.7,92
28:24.4,94
28:25.0,93
28:25.7,87
28:26.4,83
28:27.1,84
28:27.8,89
28:28.5,86
28:29.2,81
28:30.1,75
28:30.9,72
28:31.7,70
28:32.6,73
28:33.4,72
28:34.2,74
28:34.9,82
28:35.7,83
28:36.4,83
28:37.1,84
28:37.8,81
28:38.6,83
28:39.3,82
28:40.0,86
28:40.7,90
28:41.3,93
28:42.0,93
28:42.6,88
28:43.3,86
28:44.0,84
28:44.8,81
28:45.5,84
28:46.2,89
28:46.8,94
28:47.5,91
28:48.1,92
