time,bpm
29:11.1,87
29:14.2,78
29:15.0,79
29:15.7,86
29:16.3,95
29:16.9,95
29:17.5,103
29:18.1,97
29:18.8,93
29:19.5,86
29:20.2,84
29:21.0,78
29:21.7,81
29:22.4,84
29:23.2,79
29:23.8,92
29:24.4,98
29:25.1,100
29:25.7,97
29:26.3,99
29:26.9,96
29:27.5,101
29:28.1,104
29:28.7,104
29:29.2,102
29:29.8,105
29:30.4,97
29:31.1,93
29:31.8,88
29:37.4,95
29:33.0,94
29:33.7,93
29:34.3,93
29:35.0,92
29:35.6,91
29:36.3,94
29:36.9,94
29:37.5,100
29:38.1,101
29:38.7,102
29:39.3,102
29:39.9,99
29:40.5,101
29:12.1,111
19:42.7,106
29:47.9,103
29:48.4,100
29:49.0,107
29:49.6,107
29:50.1,111
29:50.6,111
29:51.2,111
29:51.7,113
29:52.3,108
29:52.9,102
29:53.5,95
29:54.2,90
29:54.8,89
29:55.5,95
29:56.2,85
29:56.8,88
29:57.5,89
29:58.3,81
29:59.0,88
29:59.6,88
30:00.3,94
30:00.9,91
30:01.6,88
30:02.4,80
30:03.1,83
30:03.9,78
30:04.6,84
30:05.4,76
30:06.1,83
30:06.9,74
30:07.6,91
30:08.3,86
30:08.9,86
30:09.6,86
30:10.3,86
30:13.0,88
30:13.7,96
30:14.3,95
30:15.0,88
30:15.7,86
30:16.4,81
30:17.2,82
30:17.9,79
30:18.7,78
30:19.4,81
30:20.2,78
30:21.0,78
30:21.6,89
30:22.3,85
30:23.0,88
30:23.8,82
30:24.5,82
30:25.2,81
30:26.0,80
30:26.7,79
30:27.5,78
30:28.2,82
30:29.0,83
30:29.7,83
30:30.4,82
30:31.1,88
30:31.8,85
30:32.5,83
30:33.3,80
30:34.0,78
30:34.8,77
30:35.6,76
30:36.4,78
30:37.1,80
30:37.8,83
30:38.6,83
30:39.3,86
30:40.0,83
30:40.7,82
30:41.5,80
30:42.3,75
30:43.1,73
30:43.9,72
30:44.7,78
30:45.5,76
30:46.2,80
30:47.0,82
30:47.7,82
30:48.4,83
30:49.1,84
30:49.9,82
30:50.6,86
30:51.3,87
30:52.0,83
30:52.6,95
30:53.3,87
30:54.0,88
30:54.7,87
30:55.4,85
30:56.1,82
30:56.8,87
30:57.5,81
30:58.2,90
30:58.9,90
30:59.5,93
31:00.2,93
31:00.8,95
31:01.4,98
31:02.1,90
31:02.7,89
31:03.4,88
31:04.1,83
31:04.9,80
31:05.7,78
31:06.4,76
31:07.2,77
31:08.0,81
31:08.7,85
31:09.3,92
31:09.9,97
31:10.6,90
31:11.3,89
31:12.0,83
31:12.8,78
31:13.5,77
31:14.3,78
31:15.1,72
31:15.9,76
31:16.7,77
31:17.5,71
31:20.9,91
31:21.6,90
31:22.3,86
31:23.0,87
31:23.7,77
31:26.8,98
31:27.4,104
31:28.0,97
31:28.6,104
31:29.2,105
31:29.8,93
31:30.4,95
31:31.1,86
31:31.8,86
31:32.6,79
31:33.3,81
31:34.1,78
31:34.8,80
31:35.6,80
31:36.3,82
31:37.1,79
31:37.7,93
31:38.4,86
31:39.1,91
31:39.7,96
31:40.4,87
31:41.0,99
31:41.7,93
31:42.3,97
31:43.2,68
31:47.0,88
31:47.7,89
31:48.4,85
31:49.1,84
31:49.8,80
31:50.6,80
31:51.3,78
31:52.2,73
31:52.9,79
31:53.7,78
31:54.4,81
31:55.2,83
31:55.9,81
31:56.6,83
31:57.3,85
31:58.0,87
31:58.7,87
31:59.5,81
32:00.2,81
32:00.9,86
32:01.7,80
32:02.4,76
32:03.2,82
32:03.9,84
32:04.6,80
32:05.4,81
32:06.1,84
32:06.9,76
32:07.6,79
32:08.4,80
32:09.2,80
32:09.9,84
32:10.6,87
32:11.2,94
32:11.8,97
32:12.5,90
32:13.1,95
32:13.8,89
32:14.4,97
32:15.0,95
