time,bpm
26:43.9,84
26:49.8,99
26:50.5,91
26:51.1,96
26:51.8,93
26:52.4,97
26:53.0,100
26:53.6,101
26:54.2,101
26:54.8,102
26:55.4,104
26:55.9,101
26:56.5,100
26:57.2,98
26:57.8,97
26:58.4,99
26:59.0,99
26:59.6,97
27:00.2,98
27:00.8,100
27:01.4,103
27:02.0,100
27:02.6,99
27:03.2,100
27:03.8,99
27:04.4,95
27:05.1,93
27:05.7,93
27:06.4,91
27:07.1,91
27:07.7,91
27:08.4,93
27:09.0,93
27:09.7,94
27:10.3,95
27:10.9,95
27:11.5,95
27:12.2,94
27:12.8,94
27:13.5,93
27:14.1,89
27:14.8,91
27:15.4,94
27:16.1,94
27:16.7,95
27:17.3,100
27:17.9,102
27:18.5,105
27:19.0,105
27:19.6,101
27:20.3,95
27:20.9,90
27:21.6,84
27:22.3,97
27:27.9,115
27:28.4,119
27:29.0,104
27:29.6,104
27:30.2,98
27:30.8,96
27:31.4,96
27:32.1,94
27:32.7,96
27:33.3,95
27:34.0,88
27:34.6,94
27:35.3,93
27:35.9,92
27:36.5,100
27:37.2,97
27:37.8,101
27:38.4,98
27:39.0,98
27:39.6,98
27:40.2,95
27:40.9,93
27:41.5,99
27:42.2,89
27:42.8,95
27:43.4,91
27:44.1,94
27:44.7,91
27:45.3,98
27:45.9,106
27:46.5,101
27:47.1,105
27:47.6,104
27:48.3,98
27:48.9,91
27:49.6,89
27:50.2,93
27:50.9,92
27:51.6,91
27:52.2,89
27:52.9,82
27:53.7,84
27:54.4,85
27:55.1,81
27:55.8,86
27:56.5,90
27:57.1,90
27:57.8,98
27:58.4,98
27:59.0,97
27:59.6,101
28:00.2,100
28:00.8,96
28:01.4,94
28:02.1,93
28:02.8,87
28:03.5,84
28:04.3,77
28:05.0,79
28:05.8,76
28:06.6,81
28:07.3,80
28:08.0,87
28:08.7,83
28:09.4,86
28:10.1,87
28:10.8,85
28:11.5,83
28:12.3,83
28:13.0,82
28:13.7,80
28:14.5,83
28:15.2,83
28:15.9,88
28:16.6,86
28:17.3,85
28:18.0,84
28:18.7,83
28:19.4,83
28:20.2,82
28:20.9,81
28:21.7,80
28:22.4,82
28:23.1,83
28:23.8,85
28:24.5,87
28:25.2,86
28:25.9,88
28:26.6,87
28:27.3,87
28:28.0,85
28:28.7,84
28:29.4,81
28:30.1,82
28:30.9,79
28:31.6,81
28:32.4,84
28:33.0,86
28:33.7,88
28:34.4,91
28:35.0,93
28:35.7,95
28:36.2,104
28:36.9,97
28:37.4,107
28:38.0,103
28:38.6,109
28:39.1,105
28:39.7,108
28:40.3,101
28:40.9,94
28:41.6,90
28:42.2,93
28:42.9,88
