time,bpm
14:50.6,88
15:00.0,86
15:01.1,87
15:01.7,93
15:02.4,98
15:03.0,97
15:03.6,100
15:04.2,101
15:04.8,97
15:05.4,95
15:06.1,91
15:06.7,88
15:07.4,86
15:08.1,95
15:10.7,97
15:11.3,99
15:11.8,104
15:12.4,100
15:13.0,99
15:13.7,97
15:14.3,94
15:14.9,97
15:17.5,97
15:18.0,103
15:18.6,107
15:19.1,110
15:19.7,107
15:20.3,107
15:20.8,105
15:21.4,100
15:22.0,100
15:22.7,89
15:23.4,85
15:24.1,84
15:24.9,81
15:25.6,86
15:26.2,93
15:26.8,96
15:27.5,96
15:28.1,96
15:28.7,98
15:29.3,100
15:29.9,100
15:30.5,98
15:31.1,95
15:31.8,91
15:32.5,85
15:35.7,73
15:36.4,76
15:37.2,76
15:38.0,83
15:38.7,81
15:39.4,90
15:40.0,89
15:40.7,91
15:41.4,90
15:42.0,93
15:42.6,97
15:43.3,93
15:43.9,98
15:44.5,96
15:45.2,95
15:45.8,98
15:46.4,98
15:47.0,97
15:47.6,98
15:48.2,100
15:48.8,100
15:49.4,97
15:50.1,91
15:50.8,91
15:51.4,94
15:52.0,94
15:52.7,94
15:53.3,90
15:54.0,91
15:54.7,90
15:55.3,91
15:55.9,95
15:56.6,96
15:57.2,94
15:57.8,98
15:58.5,93
15:59.1,96
15:59.7,96
16:00.3,102
16:00.9,99
16:01.5,102
16:02.1,102
16:02.7,101
16:03.3,100
16:03.9,97
16:04.5,100
16:05.1,98
16:05.7,97
16:06.3,100
16:07.0,96
16:07.5,102
16:08.2,98
16:08.7,104
16:09.3,102
16:09.9,106
16:10.4,107
16:11.0,109
16:11.6,106
16:12.1,102
16:12.7,100
16:13.4,97
16:14.0,99
16:14.6,96
16:15.2,95
16:15.9,95
16:16.5,94
16:17.1,92
16:17.8,91
16:18.5,90
16:19.1,90
16:19.8,89
16:20.5,91
16:21.1,94
16:21.7,94
16:22.4,96
16:23.0,96
16:23.6,94
16:24.3,91
16:25.0,87
16:25.7,87
16:26.3,88
16:28.3,89
16:29.0,89
16:29.7,93
16:30.3,88
16:31.0,90
16:31.6,95
16:32.3,93
16:32.9,96
16:33.5,95
16:34.2,95
16:34.8,98
16:35.3,107
16:35.9,103
16:36.5,104
16:37.1,106
16:37.6,107
16:38.2,105
16:38.7,107
16:39.3,104
16:39.9,103
16:40.5,97
16:41.1,97
16:41.8,98
16:42.4,96
16:43.0,98
16:43.6,100
16:44.2,99
16:44.8,99
16:45.4,100
16:46.0,98
16:46.6,102
16:47.2,102
16:47.8,101
16:48.4,98
16:49.0,102
16:49.6,100
16:50.2,100
16:50.8,102
16:51.3,100
16:52.0,98
16:52.6,97
16:53.3,90
16:53.9,88
16:54.6,89
16:55.3,89
16:56.0,91
16:56.6,90
16:57.3,93
16:57.9,94
16:58.5,94
16:59.2,99
16:59.7,101
17:00.3,102
17:00.9,103
17:01.5,102
17:02.1,102
17:02.7,98
17:03.3,93
17:04.0,91
17:04.7,90
17:05.3,88
17:06.0,95
17:06.6,94
17:07.3,94
17:07.9,99
17:08.5,102
17:09.0,102
17:09.6,104
17:10.2,107
17:10.8,104
17:11.3,102
17:12.0,99
17:12.5,103
17:13.1,100
17:13.9,82
17:14.4,108
17:15.0,102
17:15.6,102
17:16.2,100
17:16.8,107
17:17.3,104
17:17.9,103
17:18.5,106
17:19.1,100
17:19.7,104
17:20.3,98
17:24.4,107
17:24.9,108
17:25.5,110
17:26.0,110
17:26.6,109
17:27.1,106
17:27.7,107
17:28.2,107
17:28.8,105
17:29.4,102
17:30.0,103
17:30.6,99
17:31.2,99
17:31.8,104
17:32.3,107
17:32.9,104
17:33.5,104
17:34.1,107
17:34.6,107
17:35.2,104
17:35.8,106
17:36.3,107
17:36.9,105
17:37.4,111
17:40.2,111
17:40.8,104
17:41.4,102
17:42.0,98
17:42.6,102
17:43.2,103
17:43.8,100
17:45.5,107
17:46.0,108
17:46.6,104
17:47.2,104
17:47.8,102
17:48.4,103
17:48.9,104
17:49.5,104
17:50.1,98
17:52.3,107
17:53.9,109
