time,bpm
12:42.5,67
12:43.2,75
12:44.1,73
12:44.8,79
12:58.8,78
12:59.6,77
13:00.3,87
13:01.0,76
13:01.8,83
13:02.5,82
13:03.3,74
13:04.2,70
13:05.0,69
13:13.0,66
13:13.9,67
13:14.8,65
13:15.8,64
13:16.8,61
13:17.7,66
13:18.6,62
13:19.6,64
13:20.5,66
13:23.9,69
13:26.5,68
13:28.9,75
13:29.8,70
13:30.6,68
13:31.5,71
13:32.3,71
13:41.0,81
13:44.1,74
13:53.0,74
13:56.3,70
13:57.1,74
13:57.9,70
13:58.7,77
13:59.6,72
14:00.4,71
14:01.2,73
14:04.3,76
14:05.2,73
14:05.9,76
14:09.0,77
14:09.9,72
14:10.6,79
14:11.5,71
14:12.3,72
14:13.2,69
14:16.3,78
14:17.1,74
14:17.9,76
14:18.7,77
14:19.5,76
14:23.3,81
14:24.1,75
14:24.9,82
14:25.7,71
14:26.6,70
14:27.4,69
14:28.3,68
14:29.2,68
14:30.1,70
14:31.0,69
14:31.8,70
14:32.6,74
14:33.4,73
14:35.7,78
14:36.5,72
14:37.4,70
14:39.8,77
14:40.7,71
14:41.5,68
14:42.5,66
14:43.3,71
14:44.2,69
14:45.1,66
14:45.9,71
14:46.8,66
14:51.9,72
14:52.7,75
14:57.3,75
15:03.5,82
15:11.5,84
15:18.6,77
15:19.4,74
15:20.2,73
15:21.1,72
15:22.0,67
15:22.8,70
15:23.7,67
15:24.6,67
15:29.8,68
15:30.6,75
15:31.5,66
15:32.4,69
15:33.3,66
15:36.9,63
15:37.8,64
15:38.7,66
15:39.6,70
15:40.4,74
15:41.3,66
15:42.2,68
