time,bpm
51:58.3,77
52:27.0,86
52:27.9,61
52:28.9,61
52:29.9,60
52:30.7,80
52:31.6,64
52:32.6,58
52:33.5,66
52:34.3,76
52:35.4,59
52:36.3,67
52:39.1,56
52:39.9,78
52:43.5,84
52:47.5,76
52:51.0,85
52:54.0,54
52:54.7,84
52:55.7,64
52:56.8,55
52:57.7,66
52:58.5,78
52:59.6,54
53:00.5,62
53:01.3,80
53:02.2,64
53:05.1,72
53:06.0,64
53:07.0,59
53:07.9,74
53:08.6,85
53:09.4,71
53:10.4,60
53:11.2,73
53:18.6,60
53:24.4,104
53:25.4,57
53:26.4,62
53:27.1,83
53:28.1,60
53:29.2,52
53:29.9,88
53:30.9,63
53:31.8,69
53:40.7,55
53:41.8,54
53:45.3,60
53:46.5,53
53:47.2,77
53:48.3,56
53:49.3,62
53:50.4,53
53:51.3,68
53:52.1,77
53:53.0,66
53:53.9,65
53:55.0,56
53:55.6,100
53:56.4,72
53:57.4,63
53:58.4,58
53:59.1,90
54:00.0,65
54:04.6,63
54:08.2,62
54:09.2,62
54:09.9,84
54:10.8,70
54:11.9,55
54:12.6,83
54:13.5,68
54:14.3,69
54:15.6,50
54:17.1,38
54:21.6,70
54:22.6,63
54:23.8,51
54:26.1,69
54:27.1,56
54:27.8,98
54:30.8,50
54:31.6,76
54:32.4,78
54:35.0,90
54:36.0,57
54:37.0,63
54:37.7,82
54:38.7,63
54:39.8,53
54:40.5,83
54:46.8,54
54:47.4,90
54:48.5,58
54:49.5,56
54:53.7,88
54:56.3,74
54:59.2,76
55:05.2,69
