time,bpm
27:55.1,77
27:55.8,88
27:56.5,84
27:57.2,89
27:57.9,83
27:58.7,76
27:59.5,75
28:02.4,78
28:03.2,77
28:04.0,73
28:04.8,81
28:05.5,86
28:06.2,82
28:06.9,83
28:07.7,80
28:08.4,79
28:09.1,83
28:09.8,89
28:10.5,92
28:11.1,90
28:11.8,87
28:12.6,80
28:13.4,76
28:14.2,75
28:15.0,76
28:15.7,76
28:16.5,78
28:17.3,80
28:18.0,80
28:18.7,83
28:19.4,84
28:20.1,85
28:20.8,86
28:21.5,90
28:22.1,94
28:22.8,91
28:23.5,84
28:24.3,72
28:25.2,72
28:26.1,68
28:27.0,66
28:27.8,69
28:28.7,71
28:29.4,83
28:30.1,83
28:30.8,83
28:31.7,73
28:32.4,78
28:33.2,73
28:34.0,80
28:34.7,81
28:35.5,80
28:36.3,77
28:37.1,74
28:37.9,71
28:38.7,74
28:39.5,80
28:40.2,82
28:40.9,83
28:41.7,79
28:42.5,77
28:43.3,76
28:44.0,79
28:44.8,84
28:45.4,87
28:46.1,85
28:46.9,80
28:47.7,77
28:48.5,76
28:49.3,74
28:50.0,80
28:50.8,83
28:51.5,85
28:52.2,83
28:52.9,79
28:53.7,78
28:54.5,78
28:55.2,79
28:55.9,87
28:56.6,86
28:57.3,84
28:58.1,78
28:58.9,76
28:59.7,75
29:00.4,82
29:01.1,85
29:01.8,87
29:02.5,85
29:03.3,79
29:04.1,76
29:04.9,76
29:05.6,81
29:06.3,85
29:07.0,87
29:07.7,85
29:08.4,82
29:09.2,82
29:09.9,81
29:10.6,91
29:11.2,91
29:11.9,93
29:12.5,89
29:13.2,93
29:13.8,94
29:14.5,89
29:15.2,83
29:16.0,81
29:16.7,88
29:17.3,88
29:18.0,87
29:18.7,86
29:19.4,86
29:20.1,83
29:20.8,89
29:21.5,91
29:22.1,89
29:22.8,86
29:23.6,81
29:24.3,80
29:25.1,79
29:25.8,86
29:26.5,86
29:27.2,82
29:28.0,79
29:28.8,77
29:29.6,75
29:30.3,83
29:31.0,88
29:31.6,89
29:32.3,87
29:33.1,83
29:33.8,81
29:34.6,80
29:35.2,88
29:35.9,90
29:36.6,90
29:37.3,87
29:38.0,80
29:38.8,75
29:39.6,74
29:40.4,81
29:41.1,80
29:41.9,78
29:42.6,79
29:43.4,80
29:44.1,86
29:44.8,83
29:45.5,83
29:46.3,80
29:47.0,80
29:47.7,85
29:48.4,90
29:49.1,90
29:49.8,87
29:50.5,78
29:51.3,75
29:52.2,72
29:52.9,83
29:53.6,88
29:54.3,86
29:55.0,83
29:55.8,75
29:56.6,73
29:57.4,72
29:58.3,73
29:59.1,74
29:59.9,74
30:00.7,75
30:01.5,73
30:02.2,82
30:03.0,79
