time,bpm
53:55.4,63
54:00.2,73
54:02.4,79
54:03.2,81
54:03.9,82
54:04.7,80
54:05.5,76
54:06.3,73
54:07.1,70
54:08.0,69
54:11.3,75
54:12.0,80
54:12.9,75
54:13.7,72
54:14.6,67
54:15.5,69
54:16.3,70
54:17.2,67
54:18.2,64
54:19.1,64
54:20.0,66
54:20.9,70
54:21.8,65
54:22.7,63
54:23.6,69
54:24.4,72
54:25.3,67
54:26.2,68
54:27.1,65
54:28.0,67
54:28.9,72
54:29.7,69
54:30.6,69
54:41.8,82
54:42.6,81
54:43.3,78
54:44.1,77
54:44.9,71
54:45.8,69
54:46.7,69
54:47.5,70
54:48.4,70
54:51.4,79
54:52.1,78
54:53.0,72
54:53.8,75
54:54.6,71
54:55.5,70
54:56.4,62
54:57.3,68
54:58.3,65
54:59.2,62
55:00.1,67
55:01.1,59
55:02.0,65
55:03.0,65
55:03.8,70
55:04.7,68
55:05.5,77
55:13.9,89
55:14.6,83
55:15.4,75
55:16.1,80
55:16.9,79
55:17.6,80
55:18.4,77
55:19.2,81
55:19.9,83
55:20.6,83
55:21.3,89
55:22.0,82
55:22.8,80
55:23.6,76
55:24.4,70
55:25.3,65
55:26.3,64
55:27.2,67
55:28.1,64
55:29.1,60
55:30.0,64
55:31.0,64
55:32.0,60
55:33.0,60
55:34.0,61
55:35.0,61
55:35.8,68
55:36.6,75
55:37.5,69
55:38.4,71
55:39.2,68
55:40.2,65
55:41.0,71
55:41.9,69
55:42.8,66
55:43.8,62
55:44.7,65
55:48.1,69
55:49.0,69
55:49.8,75
55:50.6,72
55:51.5,68
55:52.4,69
55:53.2,71
55:54.1,71
55:54.9,67
55:55.8,68
55:56.7,69
55:57.5,73
55:58.4,70
55:59.3,65
56:00.2,64
56:01.2,62
56:02.1,64
56:03.0,71
56:03.9,66
56:04.8,65
56:05.7,72
56:06.5,71
56:07.4,68
56:08.3,66
56:11.1,65
56:12.0,67
56:15.0,81
56:15.8,78
56:16.6,76
56:17.4,72
56:18.3,71
56:19.1,69
56:20.0,73
56:20.7,76
56:21.6,71
56:22.4,71
56:23.3,67
56:24.2,67
56:25.1,68
56:26.0,65
56:26.9,71
56:27.7,74
56:28.5,73
56:29.3,71
56:30.2,69
56:31.1,65
56:32.1,63
56:33.1,62
56:33.9,69
56:34.8,72
56:35.6,72
56:36.4,73
56:37.3,67
56:38.2,68
56:39.1,67
56:43.7,72
56:44.6,66
56:45.5,66
56:46.4,66
56:47.4,66
56:48.3,64
56:51.1,66
56:52.0,67
56:52.9,68
56:53.7,68
56:54.6,69
56:57.6,82
56:58.3,84
56:59.1,82
56:59.8,78
57:00.7,73
57:01.6,67
57:02.5,65
57:03.4,63
