time,bpm
32:42.7,93
32:43.3,90
32:44.1,81
32:44.7,93
32:45.4,91
32:46.1,87
32:52.6,77
32:53.4,76
32:54.2,72
32:55.1,70
32:57.6,71
32:58.5,72
32:59.3,72
33:00.1,73
33:00.9,73
33:01.7,75
33:02.5,77
33:03.3,79
33:04.0,82
33:06.0,93
33:06.6,90
33:07.3,93
33:08.0,84
33:17.7,94
33:18.4,94
33:19.0,90
33:19.7,91
33:20.4,90
33:21.1,84
33:21.8,84
33:22.5,83
33:23.3,81
33:24.0,80
33:24.7,84
33:25.4,83
33:26.1,86
33:26.9,82
33:27.6,80
33:28.4,80
33:29.1,78
33:29.9,76
33:30.6,82
33:31.4,80
33:32.1,86
33:32.8,83
33:33.4,94
33:34.1,90
33:34.9,81
33:35.6,83
33:36.4,75
33:37.1,88
33:37.9,75
33:38.6,82
33:39.4,79
33:40.0,88
33:40.7,84
33:41.5,80
33:42.3,79
33:43.0,78
33:43.8,77
33:44.5,84
33:49.7,88
33:50.3,94
33:50.9,97
33:51.6,87
33:52.3,91
33:52.9,93
33:53.7,81
33:54.5,74
33:56.7,85
33:57.3,89
33:57.9,100
33:58.6,95
33:59.2,95
33:59.9,84
34:00.6,89
34:01.2,94
34:02.0,76
34:02.9,67
34:03.7,73
34:04.6,72
34:05.4,68
34:06.3,69
34:07.1,73
34:07.9,76
34:08.7,77
34:09.5,76
34:10.2,84
34:10.9,85
34:11.7,78
34:12.5,72
34:13.4,71
34:14.2,73
34:16.5,78
34:17.3,72
34:18.2,67
34:19.1,67
34:20.0,68
34:20.9,68
34:21.7,70
34:22.5,73
34:23.4,73
34:24.1,80
34:24.9,76
34:25.6,80
34:26.4,76
34:27.2,78
34:28.0,81
34:28.7,80
34:29.5,79
34:30.2,82
34:35.6,83
34:36.4,77
34:37.2,79
34:38.0,75
34:38.8,76
34:39.5,78
34:40.3,74
34:41.1,77
34:41.9,80
34:44.0,81
34:44.8,81
34:45.5,85
34:46.2,86
34:49.2,75
