time,bpm
17:03.9,73
17:04.7,71
17:10.7,73
17:11.5,71
17:12.4,71
17:21.2,81
17:22.0,82
17:22.8,74
17:23.6,77
17:24.3,76
17:25.1,76
17:29.8,73
17:30.5,81
17:31.3,72
17:32.1,80
17:32.8,80
17:33.7,72
17:34.4,81
17:35.2,72
17:36.0,76
17:36.8,72
17:37.6,77
17:38.4,77
17:46.1,78
17:46.9,75
17:47.6,83
17:48.3,84
17:49.1,80
17:49.9,70
17:53.6,80
17:54.4,78
17:55.2,75
17:55.9,79
17:56.7,78
17:57.5,75
17:58.4,70
17:59.2,76
18:00.0,74
18:00.8,73
18:01.6,72
18:02.4,76
18:03.3,70
18:04.1,69
18:05.0,72
18:05.8,71
18:06.7,68
18:07.6,67
18:08.5,69
18:09.4,67
18:10.2,71
18:11.0,72
18:11.9,67
18:12.8,65
18:13.7,72
18:14.6,63
18:15.4,74
18:16.4,65
18:17.2,69
18:18.1,70
18:18.9,72
18:19.7,72
18:20.6,71
18:21.5,68
18:22.3,73
18:23.2,69
18:24.0,74
18:27.2,74
18:28.0,75
18:28.8,73
18:29.6,72
18:30.5,71
18:31.4,67
18:32.2,71
18:33.1,69
18:34.0,66
18:34.8,72
18:35.7,69
18:36.5,71
18:37.3,76
18:42.6,82
18:43.3,86
18:44.1,81
18:44.8,77
18:45.6,84
18:46.3,81
18:47.0,82
18:47.8,80
18:48.5,83
18:49.2,83
18:54.9,83
18:55.6,85
18:56.3,84
18:57.0,90
18:57.7,86
18:58.4,90
18:59.1,87
18:59.8,87
