time,bpm
22:43.3,81
22:44.0,82
22:44.7,85
22:45.5,76
22:46.3,80
22:47.1,76
22:47.9,72
22:48.8,68
22:49.6,76
22:50.4,72
22:51.0,93
22:51.7,86
22:52.4,89
22:53.1,90
22:53.8,86
22:54.5,77
22:55.3,75
22:56.2,74
22:56.9,84
22:57.6,83
22:58.3,86
22:59.1,76
22:59.9,74
23:00.7,73
23:01.5,73
23:02.3,79
23:03.0,80
23:03.8,82
23:04.5,80
23:05.3,78
23:06.0,80
23:06.7,85
23:07.4,87
23:08.1,89
23:08.8,93
23:09.4,95
23:10.0,94
23:10.6,100
23:11.2,100
23:11.9,96
23:12.5,92
23:13.2,86
23:13.9,89
23:14.6,86
23:15.2,89
23:15.8,98
23:16.5,93
23:17.2,88
23:17.9,81
23:18.6,84
23:19.3,84
23:21.3,93
23:21.9,94
23:22.6,92
23:23.3,83
23:24.0,83
23:24.7,86
23:27.4,93
23:28.0,98
23:28.7,91
23:29.3,94
23:30.0,88
23:30.7,81
23:31.5,80
23:32.3,75
23:33.0,83
23:33.7,87
23:34.3,92
23:35.0,95
23:35.6,90
23:36.2,98
23:36.9,93
23:37.6,83
23:38.4,79
23:39.2,74
23:39.9,79
23:40.7,81
23:41.4,80
23:42.2,81
23:42.9,79
23:43.7,80
23:44.4,82
23:45.2,81
23:45.8,87
23:46.5,87
23:47.3,81
23:48.1,76
23:48.9,74
23:49.7,73
23:50.5,73
23:51.3,75
23:52.1,76
23:52.9,79
23:53.6,80
23:54.4,77
23:55.2,77
23:55.9,77
23:56.7,76
23:57.5,76
23:58.2,81
23:59.0,85
23:59.6,87
24:00.3,87
24:01.0,84
24:01.8,80
24:02.6,76
24:03.3,79
24:04.0,90
24:04.7,89
24:05.4,88
24:06.1,84
24:06.8,80
24:07.6,78
24:08.4,78
24:09.1,88
24:09.7,88
24:10.4,87
24:11.1,83
24:11.9,79
24:12.7,72
24:13.5,75
24:14.3,78
24:15.0,88
24:15.7,88
24:16.4,86
24:17.1,84
24:17.8,88
24:18.5,87
24:19.2,83
24:20.0,77
24:20.7,76
24:21.5,78
24:22.3,81
24:22.9,87
24:23.6,89
24:24.3,89
24:25.0,89
24:25.6,94
24:26.2,95
24:26.9,94
24:27.5,91
24:28.2,94
24:28.9,89
24:29.5,95
24:30.1,95
24:30.7,97
24:31.3,99
24:32.0,96
24:32.7,85
24:33.3,87
24:34.1,84
24:34.8,84
24:35.5,80
24:36.3,77
24:37.1,74
24:38.0,70
24:38.9,69
24:39.7,71
24:40.5,73
24:41.3,76
24:42.0,83
24:42.8,81
24:43.5,81
24:44.3,76
