time,bpm
20:24.4,84
20:25.1,86
20:25.8,80
20:28.1,76
20:28.9,75
20:29.7,78
20:30.4,80
20:33.3,83
20:34.0,86
20:40.9,76
20:41.6,81
20:42.4,83
20:43.0,87
20:43.7,90
20:48.9,85
20:49.6,83
20:51.9,80
20:52.7,78
20:53.4,76
20:54.2,80
20:55.0,78
20:55.7,76
21:07.9,75
21:08.7,76
21:09.5,79
21:14.6,80
21:15.3,80
21:16.0,86
21:16.8,81
21:17.5,83
21:18.2,83
21:18.9,93
21:19.5,90
21:20.2,88
21:20.9,89
21:21.6,85
21:23.7,94
21:31.0,98
21:31.7,93
21:35.1,83
21:38.4,90
21:43.2,94
21:43.9,83
21:44.5,89
21:49.1,94
21:49.7,93
21:50.4,91
21:51.1,90
21:51.8,88
21:52.4,88
21:56.9,98
21:57.5,95
21:58.2,91
21:58.8,91
21:59.5,85
22:00.3,83
22:01.0,82
22:01.7,81
22:13.8,76
22:16.6,85
22:17.3,85
22:18.1,78
22:18.8,86
22:19.5,84
22:27.2,76
22:32.3,78
22:35.6,70
22:36.4,69
22:37.3,67
22:38.2,67
22:39.1,70
22:39.9,69
22:40.8,72
22:41.6,70
22:42.5,70
22:43.3,71
22:44.1,75
22:44.9,80
22:45.6,79
22:46.4,78
22:47.2,77
22:47.9,83
22:48.7,81
22:49.4,78
22:50.2,79
22:50.9,80
22:51.7,76
22:52.5,77
22:53.3,78
22:54.1,78
22:54.8,81
22:55.5,81
22:56.3,80
22:57.0,80
22:57.7,83
22:58.5,78
22:59.3,80
23:00.0,78
23:00.8,80
23:01.5,80
23:02.3,78
23:03.0,80
23:03.8,82
23:04.5,83
23:05.2,82
23:08.2,78
23:09.1,70
23:09.9,71
23:10.7,75
23:11.5,73
23:12.4,73
23:13.1,77
23:13.9,79
23:14.7,78
23:15.4,81
23:16.1,88
23:16.8,84
23:17.5,82
23:18.3,77
23:19.1,72
23:20.0,68
23:20.9,68
23:21.7,71
23:22.7,67
23:23.5,68
23:24.4,74
23:25.2,73
23:26.0,71
23:26.8,79
23:27.6,74
23:28.4,74
