time,bpm
29:35.8,101
29:36.4,104
29:37.0,95
29:37.7,94
29:38.4,88
29:45.7,98
29:50.8,95
29:51.4,96
29:52.0,100
29:52.7,97
29:53.3,96
30:16.1,87
30:16.8,85
30:17.5,91
30:18.2,87
30:18.8,92
30:20.7,100
30:21.2,102
30:21.8,105
30:22.4,110
30:22.9,110
30:23.5,109
30:24.0,104
30:24.7,91
30:27.8,104
30:28.4,102
30:29.0,94
30:38.0,89
30:38.5,105
30:39.2,91
30:43.8,101
30:44.4,95
30:45.1,86
30:45.8,88
30:46.5,85
30:47.1,96
30:47.8,90
30:48.5,86
30:49.2,86
30:49.9,83
30:50.6,81
30:51.3,86
30:52.0,93
30:52.7,86
30:53.3,95
30:54.0,93
30:54.6,92
30:55.3,93
30:55.9,93
30:56.6,91
30:57.2,94
30:57.9,90
30:58.6,88
30:59.2,90
30:59.9,88
31:00.6,86
31:01.3,86
31:02.0,83
31:02.8,81
31:03.5,84
31:04.2,87
31:04.9,86
31:05.5,93
31:06.2,90
31:06.8,93
31:07.5,93
31:08.1,94
31:08.8,94
31:09.4,95
31:10.0,94
31:10.7,92
31:11.2,104
31:11.9,98
31:12.4,103
31:13.0,101
31:13.6,108
31:14.2,100
31:14.8,102
31:15.5,90
31:16.2,86
31:16.9,83
31:17.6,83
31:18.3,84
31:19.0,90
31:19.6,90
31:20.3,91
31:20.9,95
31:21.6,94
31:22.2,95
31:22.8,96
31:23.4,98
31:24.1,97
31:24.7,98
31:25.3,99
31:25.8,104
31:26.4,100
31:28.9,97
31:29.5,97
31:30.1,100
31:30.7,98
31:31.4,95
31:32.0,93
31:32.6,96
31:33.3,92
31:34.0,90
31:34.6,93
31:35.2,94
31:35.9,92
31:36.5,92
31:37.2,93
31:37.9,90
31:38.5,89
31:39.2,89
31:39.9,89
31:40.5,94
31:41.2,90
31:41.8,90
31:42.5,94
31:43.1,95
31:43.8,90
31:45.7,95
31:46.3,103
31:46.9,100
31:52.3,97
31:52.9,101
31:53.5,97
31:54.1,97
31:54.7,98
31:55.4,94
31:56.0,93
31:56.6,97
31:57.2,99
31:57.8,100
31:58.4,100
31:59.0,98
31:59.6,101
32:00.2,98
32:00.8,99
32:01.5,93
32:02.1,97
32:02.7,95
32:03.3,98
32:03.9,101
32:04.5,99
32:05.2,94
32:05.8,95
32:06.5,95
32:07.1,89
32:07.8,94
32:08.4,92
32:09.0,96
32:09.7,97
32:10.3,100
32:10.8,102
32:11.4,101
32:12.0,106
32:12.6,103
32:13.1,108
32:13.7,107
32:14.3,104
32:14.9,102
32:15.5,100
32:16.1,97
32:16.7,93
32:17.4,89
32:18.1,89
32:18.8,85
32:19.5,83
32:20.2,84
32:20.9,89
32:21.5,91
32:22.2,98
32:22.8,98
32:23.4,100
32:23.9,104
32:24.5,102
32:25.1,104
32:25.7,104
32:26.3,102
32:26.8,107
32:26.8,107
32:27.4,106
32:28.0,103
32:28.6,98
32:29.2,97
32:29.9,90
32:30.6,87
32:31.3,84
32:32.0,81
32:32.7,86
32:33.4,85
32:34.1,88
32:34.8,91
32:35.4,95
