time,bpm
56:44.7,66
56:45.8,56
57:05.9,85
57:06.7,79
57:07.3,85
57:11.8,64
57:12.6,74
57:13.6,59
57:21.3,76
57:22.1,76
57:22.9,77
57:23.7,72
57:26.5,93
57:27.1,94
57:35.1,65
57:36.0,62
57:39.0,89
57:42.9,78
57:43.7,76
57:47.3,67
57:48.2,67
57:49.2,60
57:49.8,100
57:53.5,73
57:54.1,90
57:55.0,70
57:55.9,68
57:56.7,71
57:57.7,64
57:58.6,63
58:02.0,72
58:02.9,70
58:03.8,66
58:04.7,64
58:05.7,61
58:06.6,70
58:07.5,67
58:08.4,70
58:09.4,59
58:12.1,65
58:13.0,63
58:13.8,76
58:14.7,66
58:15.6,71
58:21.5,75
58:22.5,61
58:24.4,83
58:25.1,86
58:25.9,78
58:26.7,70
58:27.5,72
58:28.3,76
58:29.2,70
58:30.0,71
58:30.8,78
58:31.7,68
58:32.4,87
58:33.1,80
58:33.9,82
58:34.6,80
58:35.4,78
58:36.2,73
58:37.0,73
58:37.8,73
58:38.8,64
58:39.9,52
