time,bpm
22:59.3,92
22:59.9,88
23:00.6,86
23:01.3,87
23:02.0,86
23:02.7,94
23:03.3,93
23:03.9,96
23:04.6,95
23:05.1,103
23:05.7,103
23:06.3,101
23:06.9,104
23:08.6,105
23:09.2,102
23:09.8,98
23:10.4,98
23:11.0,94
23:11.6,103
23:12.3,83
23:16.7,102
23:17.3,104
23:26.0,102
23:34.0,100
23:34.6,104
23:35.2,99
23:35.8,98
23:36.4,99
23:37.1,92
23:37.6,102
23:38.3,95
23:38.9,102
23:39.5,101
23:40.1,99
23:40.7,100
23:41.3,98
23:41.9,95
23:42.6,93
23:43.2,89
23:43.9,89
23:44.6,87
23:45.3,88
23:45.9,90
23:46.6,90
23:47.3,90
23:47.9,94
23:48.6,94
23:49.2,94
23:49.8,93
23:50.5,90
23:51.2,90
23:51.8,91
23:52.5,90
23:53.1,93
23:53.8,92
23:54.5,91
23:55.2,85
23:55.9,85
23:56.6,82
23:57.3,86
24:10.3,98
24:10.9,102
24:11.5,98
24:12.1,102
24:12.7,101
24:13.3,103
24:13.9,101
24:14.4,104
24:15.0,111
24:15.5,108
24:16.1,110
24:16.6,111
24:17.2,105
24:17.8,99
24:18.4,93
24:19.1,86
24:19.8,91
24:20.5,85
24:21.2,86
24:21.9,84
24:22.6,83
24:23.3,86
24:24.0,87
24:24.7,90
24:25.3,94
24:25.9,97
24:26.5,97
24:27.1,102
24:27.7,102
24:28.3,99
24:28.9,107
24:34.3,93
24:34.9,94
24:35.6,87
24:36.3,91
24:42.5,104
24:44.4,91
24:45.1,82
24:45.9,81
24:46.6,81
24:47.3,83
24:48.0,85
24:48.7,86
24:49.4,93
24:50.0,93
24:50.6,102
24:51.2,99
24:51.8,107
24:52.3,108
24:52.9,102
24:53.5,98
24:54.2,91
24:54.9,89
24:55.6,84
24:56.3,86
24:57.0,83
24:57.7,89
24:58.4,86
24:59.0,88
24:59.7,94
25:00.6,69
25:10.9,97
25:11.5,91
25:12.2,91
25:12.8,92
25:13.5,94
25:14.1,99
25:14.7,98
25:15.3,100
25:15.9,98
25:16.5,100
25:17.1,97
25:17.8,95
25:18.4,95
25:19.1,90
25:19.8,86
25:20.4,93
25:21.1,87
25:21.8,82
25:22.5,87
25:23.2,81
25:24.0,85
25:24.7,86
25:25.4,81
25:27.4,85
25:28.1,87
