time,bpm
04:15.5,62
04:16.4,61
04:17.4,64
04:27.8,73
04:28.7,70
04:29.6,65
04:30.5,70
04:31.4,66
04:32.2,73
04:35.7,61
04:38.7,83
04:39.7,60
04:48.1,66
04:48.9,77
04:51.4,76
04:52.1,81
05:00.8,70
05:06.8,68
05:07.8,56
05:10.2,71
05:12.8,60
05:16.7,70
05:17.5,72
05:18.3,82
05:19.1,72
05:20.0,66
05:20.6,96
05:21.5,72
05:22.3,69
05:23.5,54
05:24.1,87
05:25.1,62
05:26.0,68
05:26.9,65
05:29.3,73
05:30.1,81
05:31.1,60
05:33.7,73
05:36.0,69
05:36.8,77
05:37.6,73
05:38.6,62
05:39.4,75
05:40.1,81
05:41.0,69
05:41.7,83
05:42.5,76
05:43.6,56
05:44.3,83
05:45.2,66
05:46.2,61
05:46.9,82
05:47.7,75
05:48.6,69
05:49.4,73
05:50.1,81
05:51.0,69
05:51.9,65
05:52.7,80
05:53.6,68
05:54.4,70
05:55.3,68
05:57.7,67
06:00.0,78
06:00.8,81
06:01.7,65
06:04.0,68
06:04.7,88
06:10.2,76
06:10.9,88
06:11.5,93
