time,bpm
44:10.6,103
44:11.2,103
44:15.4,90
44:16.2,79
44:17.0,75
44:17.8,75
44:18.6,78
44:19.3,80
44:20.0,84
44:20.7,93
44:24.7,94
44:25.3,98
44:25.9,91
44:26.6,85
44:27.4,80
44:28.1,81
44:28.8,86
44:29.6,82
44:30.3,80
44:31.0,83
44:31.7,95
44:32.3,89
44:33.0,95
44:33.6,97
44:35.3,108
44:35.9,100
44:36.5,98
44:37.1,98
44:37.7,100
44:38.4,98
44:39.0,95
44:39.7,90
44:40.4,85
44:41.1,85
44:41.8,84
44:42.5,89
44:43.1,87
44:43.8,90
44:44.4,95
44:45.0,98
44:45.7,99
44:46.2,105
44:46.8,100
44:47.4,99
44:48.0,98
44:48.7,92
44:49.4,83
44:50.2,81
44:50.9,85
44:51.6,82
44:52.3,82
44:53.0,90
44:53.7,91
44:54.4,85
44:55.1,84
44:55.8,84
44:56.5,88
44:57.1,95
44:57.7,93
44:58.4,91
44:59.0,95
44:59.8,84
45:00.3,102
45:01.0,95
45:01.6,94
45:02.2,98
45:02.9,95
45:03.5,92
45:04.1,100
45:04.7,97
45:05.4,94
45:06.0,95
45:06.6,91
45:07.3,96
45:07.9,97
45:08.5,92
45:09.2,89
45:09.8,97
45:10.4,100
45:11.0,98
45:11.6,100
45:12.3,90
45:12.9,94
45:13.6,95
45:14.2,94
45:14.8,95
45:15.5,98
45:16.1,98
45:16.7,97
45:17.3,94
45:18.0,85
45:18.7,89
45:19.3,95
45:20.0,90
45:20.8,80
45:21.4,89
45:22.1,87
45:22.7,98
45:23.4,93
45:24.0,90
45:24.7,91
45:33.0,100
45:33.6,95
45:34.3,90
45:35.0,80
45:35.7,89
45:36.3,92
45:37.0,100
45:37.5,111
45:38.2,87
45:38.8,104
45:40.6,100
45:41.3,84
45:42.0,94
45:42.7,88
45:43.3,87
45:44.0,95
45:44.7,87
45:45.4,87
45:46.0,86
45:46.8,85
45:47.4,87
45:48.1,93
45:48.8,83
45:49.5,87
45:50.2,83
45:50.9,90
45:51.5,93
45:52.2,94
45:52.8,93
45:53.5,90
45:54.2,88
45:56.8,99
45:57.4,100
45:57.9,102
45:58.6,91
45:59.2,97
45:59.9,90
46:00.5,95
46:01.1,94
46:01.7,103
46:02.3,100
46:03.0,96
46:03.5,101
46:04.2,87
46:04.8,96
46:05.4,105
46:06.1,91
46:06.7,99
46:07.4,82
46:09.2,98
46:09.8,93
46:10.6,86
