time,bpm
23:47.6,74
23:48.4,68
23:49.3,70
23:50.1,71
23:50.9,74
23:51.8,74
23:52.6,72
23:53.4,73
23:54.2,72
23:55.1,70
23:55.9,73
23:56.8,72
23:57.4,87
23:58.1,89
23:58.8,90
23:59.5,86
24:00.3,76
24:01.1,72
24:01.9,73
24:02.7,72
24:03.5,81
24:04.2,79
24:05.0,78
24:05.8,79
24:06.6,72
24:07.4,73
24:08.2,76
24:09.0,78
24:09.7,85
24:10.4,88
24:11.1,87
24:11.8,78
24:15.0,73
24:15.8,74
24:16.6,77
24:17.4,82
24:18.1,81
24:18.9,80
24:19.6,78
24:20.4,74
24:21.3,73
24:24.4,75
24:25.2,78
24:26.0,72
24:26.8,71
24:27.7,69
24:28.5,75
24:29.3,76
24:30.1,78
24:30.9,76
24:31.6,79
24:32.4,76
24:33.3,70
24:34.1,68
24:34.9,76
24:35.9,64
24:39.7,82
24:40.4,89
24:41.2,73
24:42.0,72
24:43.0,64
24:43.9,67
24:44.7,70
24:45.5,78
24:46.3,75
24:47.1,72
24:47.9,73
24:48.8,70
24:49.6,73
24:50.5,71
24:51.2,78
24:52.0,73
24:52.8,75
24:53.6,78
24:54.3,85
24:55.0,87
24:55.7,85
24:56.5,78
24:57.3,71
24:58.2,69
24:59.1,70
24:59.9,71
25:00.7,80
25:01.4,76
25:02.2,78
25:03.0,77
25:03.8,75
25:04.6,76
25:05.4,72
25:06.2,79
25:06.9,82
25:07.6,85
25:08.3,84
25:09.1,77
25:10.0,71
25:10.9,65
25:11.8,64
25:16.9,74
25:17.6,87
25:18.4,82
25:19.1,86
25:19.8,80
25:20.6,79
25:21.4,75
25:24.3,86
25:25.1,83
25:25.8,81
25:26.6,77
25:27.3,83
25:28.0,84
25:28.7,86
25:29.4,88
25:30.1,81
25:31.0,74
25:31.7,78
25:32.5,76
25:33.3,77
25:34.1,76
25:34.8,82
25:35.6,74
25:36.4,80
25:37.0,90
25:37.7,90
25:38.4,91
25:39.1,84
25:39.9,69
25:40.8,71
25:41.6,70
25:42.5,72
25:43.3,73
25:44.1,73
25:44.9,73
25:45.7,83
25:46.5,76
25:47.2,77
25:48.0,79
25:48.8,78
25:49.5,80
25:50.3,78
25:51.1,76
25:51.7,89
25:52.4,88
25:54.3,89
25:55.1,78
25:56.0,71
25:56.8,68
25:57.7,66
25:58.6,71
25:59.4,75
26:00.2,72
26:01.0,74
26:01.8,77
26:02.5,83
26:03.3,81
26:04.0,81
26:04.8,80
26:05.5,79
26:06.2,84
26:07.0,83
26:07.7,79
26:08.5,80
26:09.3,76
26:10.0,80
26:10.7,81
26:11.5,79
26:12.2,84
26:13.0,74
26:13.8,74
26:14.6,75
26:15.4,83
26:16.1,87
26:16.7,88
26:17.4,93
26:18.0,97
26:18.6,99
26:19.2,98
26:19.9,96
26:20.5,89
26:21.3,80
26:22.1,72
26:23.0,70
26:23.8,73
26:24.5,81
26:25.3,78
26:26.1,75
26:26.9,75
26:27.7,73
26:28.5,74
26:29.3,74
26:30.1,74
26:31.0,72
26:31.7,80
26:32.4,84
26:33.2,83
26:33.9,82
26:34.7,77
26:35.5,72
26:36.4,70
26:37.1,76
26:37.9,81
26:38.6,80
26:39.4,76
26:40.2,73
26:41.1,71
26:41.9,72
26:42.7,78
26:43.4,78
26:44.2,78
26:45.0,78
26:45.7,80
26:46.4,86
26:47.1,87
26:47.8,89
26:48.5,87
26:49.2,82
26:50.0,80
26:50.8,75
26:51.6,76
26:52.3,80
26:53.1,82
26:53.8,78
26:54.6,76
26:55.4,76
