time,bpm
10:22.3,77
10:26.9,96
10:27.5,87
10:28.2,88
10:28.9,89
10:29.6,83
10:30.4,80
10:31.1,82
10:31.9,80
10:32.6,80
10:33.4,80
10:34.1,82
10:34.8,89
10:35.4,88
10:36.1,93
10:36.7,98
10:37.3,98
10:37.9,100
10:38.6,93
10:39.2,95
10:39.9,91
10:40.6,86
10:41.2,87
10:42.0,82
10:42.7,80
10:43.5,78
10:44.3,75
10:45.0,82
10:45.8,78
10:46.5,81
10:47.3,83
10:48.0,84
10:48.7,83
10:49.4,84
10:50.1,84
10:50.8,83
10:51.6,83
10:52.3,79
10:53.1,77
10:53.9,74
10:54.8,72
10:55.6,72
10:56.4,75
10:57.1,80
10:57.9,82
10:58.5,90
10:59.2,87
10:59.9,87
11:00.6,89
11:01.4,76
11:02.2,73
11:02.9,81
11:03.7,79
11:04.5,75
11:05.2,80
11:05.9,90
11:06.7,73
11:07.5,73
11:08.4,74
11:09.2,75
11:10.0,75
11:10.7,78
11:11.5,77
11:12.2,86
11:13.0,81
11:13.7,77
11:14.5,80
11:15.3,72
11:16.2,72
11:16.9,78
11:17.7,77
11:18.5,78
11:19.2,79
11:20.0,81
11:20.7,82
11:21.4,83
11:22.2,83
11:22.9,83
11:23.6,79
11:24.4,77
11:25.1,83
11:25.9,76
11:26.7,78
11:27.5,78
11:28.2,79
11:29.0,81
11:29.7,82
11:30.4,80
11:31.2,83
11:31.9,81
11:32.6,80
11:33.4,82
11:34.1,81
11:34.9,78
11:35.6,81
11:36.3,88
11:37.0,88
11:39.6,97
11:41.9,102
11:42.5,104
11:43.1,105
11:43.7,100
11:44.3,94
11:44.9,94
11:45.6,94
11:46.2,92
11:46.9,92
11:47.5,93
11:48.2,90
11:48.8,96
11:49.5,92
11:50.1,93
11:50.8,88
11:51.5,84
11:52.2,89
11:52.9,81
11:53.7,80
11:54.3,88
11:55.0,95
11:55.6,102
11:56.2,98
11:56.8,97
11:57.4,98
11:58.0,97
11:58.7,93
11:59.3,94
12:00.0,89
12:00.6,89
12:01.3,90
12:02.0,87
12:02.7,90
12:03.3,92
12:04.0,92
12:04.7,88
12:05.4,82
12:06.1,86
12:06.9,79
12:07.6,81
12:08.3,89
12:09.0,80
12:09.6,95
12:10.3,87
12:10.9,107
12:11.5,98
12:12.1,101
12:12.7,97
12:13.3,104
12:13.9,98
12:14.5,94
12:15.2,93
12:15.8,98
12:16.4,93
12:17.1,93
12:17.7,97
12:18.4,90
12:19.1,86
12:19.8,88
12:20.5,81
12:21.2,80
12:22.0,83
12:22.7,81
12:23.4,81
12:24.2,78
12:25.0,76
12:25.8,76
12:27.3,78
12:28.0,84
12:28.8,81
12:29.5,81
12:30.2,86
12:31.0,78
12:31.7,81
12:32.5,75
12:33.3,78
12:34.1,79
12:34.9,75
12:35.6,80
12:36.3,81
12:37.1,81
12:37.8,87
12:38.5,90
12:39.1,92
12:39.7,93
12:40.4,87
12:41.1,91
12:41.8,90
12:42.4,93
12:43.1,91
12:43.7,97
12:44.3,98
12:44.9,95
12:45.5,103
12:46.2,94
12:46.8,96
12:47.4,95
12:48.0,95
12:48.7,91
12:49.4,91
12:50.0,88
12:50.7,85
12:51.4,98
12:52.0,93
12:52.6,93
12:53.3,97
12:53.8,106
12:54.4,97
12:55.1,97
12:55.6,105
12:56.2,102
12:56.8,100
12:57.4,98
12:58.0,111
12:59.7,107
13:00.4,94
13:01.0,92
13:01.7,85
13:02.5,80
13:03.2,77
13:04.0,79
13:04.7,85
13:05.4,85
13:06.1,84
13:06.8,91
13:07.4,90
13:08.1,98
13:08.7,93
13:09.4,91
13:10.1,87
13:10.8,83
13:11.5,78
13:12.3,77
13:13.1,76
13:13.9,78
13:14.6,81
13:19.0,86
13:19.7,76
13:20.5,80
13:21.2,83
13:22.0,80
13:22.7,80
13:23.5,81
13:24.2,84
13:25.0,77
13:25.7,85
13:26.4,78
13:27.1,86
