time,bpm
31:53.1,89
31:57.1,94
31:57.8,91
31:58.5,86
31:59.2,86
31:59.9,88
32:00.6,81
32:01.4,80
32:02.1,83
32:08.8,83
32:09.5,80
32:10.3,79
32:11.0,80
32:11.8,80
32:12.6,79
32:13.3,83
32:14.0,84
32:14.7,83
32:15.4,86
32:16.1,85
32:16.8,85
32:17.5,87
32:18.2,86
32:18.9,85
32:19.6,85
32:20.3,86
32:21.0,87
32:21.7,84
32:22.4,84
32:23.1,86
32:23.8,83
32:24.5,86
32:25.2,86
32:25.9,91
32:26.5,91
32:27.2,88
32:27.9,90
32:28.5,93
32:29.2,88
32:29.9,88
32:30.6,91
32:31.2,91
32:31.9,90
32:32.5,92
32:33.2,93
32:33.9,88
32:34.5,89
32:35.2,90
32:35.9,88
32:36.6,86
32:37.2,90
32:37.9,95
32:38.5,98
32:39.1,103
32:39.7,100
32:40.3,96
32:40.9,97
32:41.6,95
32:42.2,91
32:42.9,90
32:43.5,95
32:44.1,97
32:44.8,94
32:45.4,90
32:46.1,93
32:46.7,92
32:47.4,91
32:48.0,90
32:48.7,94
32:49.3,96
32:49.9,96
32:50.6,97
32:51.2,98
32:51.8,98
32:52.4,91
32:53.1,93
32:53.7,98
32:54.3,94
32:55.0,91
32:55.7,93
32:56.3,91
32:57.0,87
32:57.7,86
32:58.4,87
32:59.1,83
32:59.8,86
33:00.5,86
33:01.2,85
33:01.9,84
33:02.6,88
33:03.3,87
33:04.0,83
33:04.7,86
33:05.4,84
33:06.2,81
33:06.9,86
33:07.6,84
33:08.3,83
33:09.0,88
33:09.7,89
33:10.3,88
33:11.0,86
33:11.7,90
33:12.3,91
33:13.0,87
33:13.7,86
33:14.4,86
33:15.1,87
33:15.8,86
33:16.5,89
33:17.2,89
33:17.9,86
33:18.6,88
33:19.2,88
33:20.0,83
33:20.7,84
33:21.4,86
33:22.1,84
33:22.8,82
33:23.5,83
33:24.2,87
33:24.9,86
33:25.6,85
33:26.3,90
33:27.0,90
33:27.6,90
33:28.3,89
33:28.9,95
33:29.5,97
33:30.2,93
33:30.9,89
33:31.5,91
33:32.2,90
33:32.9,84
33:33.6,83
33:34.3,86
33:35.0,87
33:35.7,85
33:36.4,89
33:37.1,89
33:37.8,86
33:38.5,87
33:39.1,90
33:39.8,90
33:40.5,86
33:41.2,84
33:41.8,92
33:42.5,94
33:43.2,89
33:43.8,87
33:44.5,89
33:45.2,88
33:45.9,84
33:46.6,84
33:47.4,82
33:48.1,80
33:48.8,84
33:49.5,86
33:50.2,84
33:50.9,85
33:51.6,86
33:52.4,83
33:53.1,83
33:53.8,86
33:54.5,85
33:55.2,80
33:56.0,82
