time,bpm
39:13.0,61
39:14.0,61
39:14.9,60
39:16.0,58
39:17.1,54
39:18.0,62
39:19.0,62
39:19.9,70
39:20.7,69
39:21.6,67
39:22.7,56
39:35.7,51
39:36.5,75
39:37.6,54
39:38.7,56
39:39.8,55
39:40.8,57
39:41.8,60
39:43.0,50
39:44.0,58
39:44.8,75
39:45.7,70
39:46.8,54
39:47.9,57
39:49.0,52
39:50.2,51
39:51.3,55
39:52.4,56
39:53.5,51
39:54.6,55
39:55.8,53
39:56.9,51
39:58.0,57
39:59.2,52
40:00.1,60
40:01.2,56
40:02.4,52
40:03.3,62
40:04.4,57
40:05.5,52
40:06.6,58
40:07.7,52
40:08.8,56
40:12.7,65
40:13.7,60
40:14.6,69
40:15.5,64
40:16.6,53
40:17.6,60
40:18.7,56
40:19.8,52
40:21.0,54
40:22.0,59
40:23.8,67
40:24.8,64
40:25.8,58
40:32.4,57
40:33.5,56
40:34.5,57
40:37.5,69
40:38.4,65
40:39.6,52
40:40.6,57
40:41.7,55
40:47.0,51
40:48.1,52
40:51.3,60
40:52.4,59
40:53.5,52
40:54.8,48
40:55.8,59
40:56.9,56
40:58.0,54
40:59.0,58
41:03.2,53
41:04.4,50
41:05.5,52
41:06.6,56
41:07.7,57
41:08.6,64
41:09.5,63
41:10.5,64
41:11.6,54
41:12.8,52
41:13.8,56
41:15.1,47
41:17.8,75
41:18.7,65
41:19.7,57
41:20.7,59
41:21.8,58
41:22.9,55
41:25.9,59
41:27.0,59
41:28.0,61
41:29.0,58
41:33.0,55
41:34.2,52
41:35.1,63
41:36.2,58
41:37.2,59
41:38.1,68
41:39.1,59
41:40.1,56
41:41.1,64
41:48.0,63
41:48.8,70
41:49.8,64
41:50.8,61
41:51.6,69
41:52.8,54
41:53.5,78
41:54.8,48
41:55.6,72
41:56.7,53
41:57.8,58
41:58.7,66
41:59.7,56
42:00.8,60
42:01.9,53
42:06.6,56
42:09.4,60
42:10.4,58
42:11.2,74
42:12.5,49
42:16.0,61
42:17.1,55
42:20.3,57
