time,bpm
37:19.2,87
37:20.0,85
37:20.6,92
37:21.3,94
37:21.9,95
37:22.5,90
37:23.2,95
37:23.8,93
37:24.5,87
37:25.2,84
37:25.9,87
37:26.7,78
37:27.4,81
37:28.1,83
37:28.8,87
37:32.6,94
37:33.3,85
37:34.0,84
37:34.8,80
37:35.6,77
37:36.3,85
37:43.0,85
37:43.7,85
37:44.4,83
37:45.1,80
37:45.9,77
37:46.7,80
37:47.5,77
37:53.3,85
37:54.0,79
37:54.8,84
37:55.5,78
37:56.3,82
37:57.0,82
37:57.7,87
37:58.3,94
37:59.0,94
37:59.6,101
38:05.4,76
38:06.2,77
38:06.9,79
38:07.7,85
38:08.4,83
38:09.1,81
38:11.8,96
38:12.5,83
38:13.3,80
38:14.1,76
38:14.8,76
38:15.6,78
38:16.4,73
38:17.2,79
38:18.0,73
38:18.8,77
38:19.6,76
38:20.3,80
38:29.8,94
38:30.4,89
38:31.2,81
38:31.9,81
38:32.6,83
38:33.4,83
38:34.1,78
38:34.9,76
38:35.7,81
38:36.4,76
38:37.2,76
38:38.0,79
38:38.7,83
38:39.4,83
38:40.2,78
38:40.9,91
38:41.6,86
38:47.2,87
38:47.9,89
38:48.6,84
38:49.3,77
38:51.3,88
38:52.1,82
38:54.1,87
38:54.8,88
38:55.5,86
38:56.3,82
38:58.1,93
38:58.8,89
38:59.5,85
39:00.2,83
39:00.9,84
39:01.6,87
39:02.3,89
39:05.2,79
39:08.1,78
39:08.9,80
39:09.6,80
39:10.4,79
39:11.1,85
39:11.8,80
39:12.6,82
39:13.3,87
39:15.4,77
39:16.2,81
39:16.9,80
39:20.0,76
39:20.8,82
39:27.3,76
