time,bpm
16:36.5,93
16:37.2,86
16:37.9,83
16:38.6,84
16:39.3,86
16:40.0,85
16:40.7,94
16:41.3,96
16:41.9,94
16:42.6,96
16:43.2,88
16:44.0,81
16:46.6,89
16:47.3,91
16:47.9,100
16:48.5,95
16:49.1,102
16:50.8,110
16:51.4,100
16:52.0,102
16:52.7,91
16:53.3,93
16:54.0,80
16:54.8,81
16:55.5,84
16:56.3,78
16:57.0,83
16:57.7,82
16:58.4,89
16:59.1,88
16:59.7,95
17:00.3,97
17:00.9,100
17:01.5,98
17:02.2,95
17:02.8,89
17:03.5,88
17:04.3,80
17:05.0,86
17:05.7,85
17:06.4,87
17:07.1,83
17:07.8,82
17:08.5,83
17:09.3,81
17:10.0,85
17:10.7,85
17:11.4,86
17:12.0,93
17:12.7,90
17:13.4,92
17:14.0,95
17:14.6,90
17:15.3,89
17:16.0,87
17:16.7,93
17:17.3,90
17:18.0,93
17:18.6,96
17:19.2,96
17:19.8,97
17:20.5,91
17:21.1,93
17:21.8,89
17:22.5,87
17:23.3,79
17:26.0,91
17:26.6,94
17:27.3,94
17:27.8,102
17:28.4,102
17:29.0,107
17:29.6,100
17:30.2,99
17:30.8,95
17:31.5,86
17:32.2,88
17:32.8,96
17:33.5,86
17:34.2,89
17:34.9,88
17:35.6,89
17:36.2,93
17:36.9,83
17:45.1,99
17:45.7,95
17:46.4,90
17:47.1,86
17:47.7,96
17:48.4,92
17:49.0,89
17:49.7,90
17:50.4,91
17:51.0,90
17:51.7,93
17:52.2,104
17:58.3,91
17:59.0,93
17:59.6,95
18:00.2,91
18:02.7,94
18:03.4,94
18:04.0,98
18:04.7,91
18:05.3,94
18:05.9,95
18:06.6,91
18:07.2,90
18:07.9,89
18:08.6,95
18:09.2,100
18:09.8,98
18:10.4,100
18:11.0,98
18:11.6,98
18:12.2,95
18:12.8,96
18:13.5,98
18:14.0,104
18:14.7,89
18:17.2,93
18:17.8,95
18:18.5,95
18:19.1,91
18:19.8,95
18:20.5,84
18:21.1,89
18:21.9,83
18:22.6,83
18:23.3,86
18:23.9,93
18:24.6,91
18:25.2,93
18:29.4,83
18:30.1,86
18:30.8,83
18:31.6,83
18:34.9,95
18:35.6,91
18:36.2,92
18:36.9,90
18:37.6,93
18:38.2,89
18:38.9,92
