time,bpm
20:39.5,76
20:55.7,80
20:56.4,79
20:57.2,76
20:58.0,75
20:58.8,79
20:59.6,78
21:00.4,76
21:01.2,75
21:01.9,76
21:02.7,79
21:03.4,83
21:04.2,81
21:04.9,84
21:05.6,87
21:06.3,84
21:07.1,78
21:07.8,79
21:08.6,72
21:09.5,70
21:10.4,66
21:11.3,66
21:12.2,69
21:13.1,68
21:13.9,71
21:14.8,72
21:15.6,74
21:16.4,75
21:17.1,79
21:17.8,84
21:18.6,84
21:19.3,83
21:20.0,82
21:20.8,78
21:21.5,86
21:22.2,82
21:23.1,70
21:24.0,68
21:24.8,72
21:25.6,75
21:26.3,80
21:27.0,87
21:27.7,84
21:28.4,83
21:29.1,86
21:29.8,86
21:30.6,82
21:31.3,87
21:32.0,84
21:32.8,78
21:33.6,67
21:34.5,71
21:35.4,66
21:36.3,66
21:37.2,69
21:38.1,66
21:39.0,65
21:40.0,65
21:40.9,65
21:41.8,64
21:42.7,67
21:43.6,65
21:44.6,62
21:45.5,63
21:46.5,63
21:47.4,67
21:48.3,66
21:49.2,67
21:50.1,71
21:50.8,76
21:51.7,72
21:52.5,69
21:53.3,76
21:54.2,66
21:55.1,69
21:56.0,65
21:56.9,65
21:57.9,66
21:58.8,66
21:59.6,76
22:00.3,76
22:01.1,75
22:01.9,77
22:02.6,84
22:03.4,78
22:04.2,72
22:05.0,78
22:05.8,76
22:06.6,78
22:07.3,78
22:08.1,80
22:08.9,77
22:09.7,70
22:10.5,77
22:11.3,72
22:12.2,67
22:13.1,67
22:14.0,71
22:14.8,73
22:15.7,70
22:16.5,72
22:17.3,73
22:18.1,75
22:18.8,82
22:19.6,79
22:20.3,86
22:38.3,84
22:41.2,79
22:42.0,82
22:42.8,75
22:43.6,74
22:44.4,74
