time,bpm
20:38.2,104
20:38.8,100
20:39.4,100
20:40.0,102
20:40.6,99
20:41.2,100
20:41.8,102
20:42.4,101
20:43.1,91
20:43.9,73
20:44.8,69
20:45.7,67
20:46.6,66
20:47.5,65
20:48.4,68
20:49.3,67
20:53.1,85
20:53.8,83
20:54.5,89
20:55.3,75
20:56.1,73
20:57.0,66
20:57.9,72
20:58.7,72
20:59.5,75
21:00.2,82
21:00.9,85
21:01.6,85
21:02.3,84
21:03.1,78
21:03.8,83
21:10.1,84
21:10.9,79
21:11.6,76
21:12.4,82
21:13.2,77
21:13.9,82
21:14.6,84
21:15.3,85
21:16.0,82
21:16.7,86
21:17.4,92
21:18.1,86
21:18.8,83
21:19.6,77
21:26.5,102
21:27.1,94
21:27.7,107
21:28.3,102
21:28.8,104
21:29.4,104
21:30.0,104
21:35.6,80
21:36.3,90
21:36.9,92
21:37.6,91
21:38.2,93
21:38.9,96
21:39.5,97
21:40.1,99
21:40.7,101
21:41.3,102
21:41.9,99
21:48.2,96
21:48.9,93
21:49.5,90
21:50.2,84
21:51.0,84
21:51.7,81
21:52.4,86
21:53.1,81
21:53.8,90
21:54.4,97
21:55.0,96
21:55.7,98
21:56.3,97
21:56.9,97
21:57.5,91
21:58.3,86
21:59.0,83
21:59.7,82
22:00.4,83
22:01.1,85
22:01.8,88
22:02.5,89
22:03.1,94
22:03.7,99
22:04.3,102
22:04.9,103
22:05.5,100
22:06.1,95
22:06.8,85
22:07.6,81
22:08.3,81
22:09.2,72
22:10.0,74
22:10.8,76
22:11.5,82
22:12.2,84
22:12.9,93
22:15.6,84
22:16.4,79
22:17.1,77
22:17.9,85
22:18.5,86
22:19.2,91
22:19.8,93
22:20.5,89
22:21.2,87
22:21.9,83
22:22.7,81
22:23.4,82
22:24.1,89
22:24.8,87
22:25.4,88
22:26.1,94
22:26.7,94
22:27.4,94
22:28.0,95
22:28.6,92
22:29.4,85
22:30.1,84
22:30.8,84
22:31.5,85
22:32.2,86
22:32.8,94
22:33.4,96
22:34.0,101
22:34.7,97
22:35.3,94
22:36.0,89
22:36.8,74
22:37.6,78
22:41.3,77
22:45.4,93
22:46.0,91
