223;726;777;54;1.338;1257;0;31.7;3750;9.6;-1.52;1.52 
1257;812;726;54;1.315;1256;0;31.6;3770;9.4;-1.6;1.76 
1942;864;812;56;1.302;1257;0;31.6;3770;9.4;-1.56;1.68 
2634;779;864;56;1.302;1255;0;31.7;3770;9.6;-1.48;1.8 
4697;1875;779;54;1.348;1254;0;31.7;3770;9.4;-1.44;1.92 
5937;939;1875;57;1.348;1253;0;31.7;3750;9.6;-1.36;1.64 
6682;987;939;57;1.348;1253;0;31.7;3770;9.4;-1.4;1.68 
8053;967;987;59;1.318;1252;0;31.8;3780;9.4;-1.44;1.64 
8876;937;967;58;1.303;1251;0;31.8;3760;9.4;-1.44;1.68 
9952;911;851;62;1.293;1250;0;31.8;3760;9.6;-1.36;1.72 
9952;851;937;62;1.293;1250;0;31.8;3760;9.6;-1.36;1.72 
11941;913;890;63;1.269;1250;0;31.8;3770;9.6;-1.4;1.72 
11941;890;911;63;1.269;1250;0;31.8;3770;9.6;-1.4;1.72 
12930;818;913;66;1.257;1248;0;31.9;3760;9.4;-1.48;1.72 
13945;730;818;66;1.244;1247;0;31.8;3790;9.6;-1.48;1.68 
16000;836;1682;63;1.297;1245;0;31.9;3770;9.6;-1.52;1.6 
16000;1682;730;63;1.297;1245;0;31.9;3770;9.6;-1.52;1.6 
16899;790;836;63;1.297;1245;0;31.9;3750;9.6;-1.52;1.6 
17940;716;790;63;1.276;1245;0;31.9;3760;9.6;-1.6;1.68 
18937;696;761;63;1.265;1245;0;31.9;3750;9.4;-1.56;1.56 
18937;761;716;63;1.265;1245;0;31.9;3750;9.4;-1.56;1.56 
19923;690;696;64;1.244;1244;0;32;3750;9.6;-1.56;1.64 
20941;757;690;64;1.237;1243;0;31.9;3750;9.4;-1.52;1.72 
21916;693;791;69;1.227;1242;0;32;3780;9.4;-1.56;1.72 
21916;791;757;69;1.227;1242;0;32;3780;9.4;-1.56;1.72 
23672;1246;693;67;1.223;1241;0;32;3770;9.4;-1.44;1.6 
25068;1547;1246;65;1.224;1240;0;32;3770;9.4;-1.44;1.68 
25867;867;1547;66;1.224;1240;0;32.1;3760;9.6;-1.24;1.72 
26967;817;867;66;1.216;1239;0;32.1;3760;9.4;-1.12;1.8 
27916;710;817;67;1.212;1238;0;32.1;3770;9.6;-1.08;1.88 
28941;1600;710;64;1.212;1238;0;32;3760;9.6;-1.04;2 
29932;926;1600;64;1.212;1237;0;32.1;3770;9.4;-1.12;1.88 
30915;839;926;64;1.207;1237;0;32.1;3780;9.4;-1.08;1.96 
31945;921;839;64;1.201;1236;0;32.1;3760;9.6;-1.08;1.96 
32931;961;921;63;1.194;1235;0;32.2;3770;9.4;-1.04;1.96 
33938;918;961;66;1.186;1233;0;32.2;3770;9.4;-1.16;2 
34281;786;918;66;1.185;1234;0;32.2;3770;9.4;-1.12;2 
34969;813;786;66;1.185;1233;0;32.2;3760;9.4;-0.96;2 
36006;961;813;65;1.178;1233;0;32.2;3760;9.4;-1.04;2 
36693;954;961;65;1.178;1234;0;32.2;3760;9.4;-1.04;2 
37722;846;954;64;1.169;1232;0;32.2;3770;9.4;-1.04;2 
39096;1656;846;64;1.167;1230;0;32.3;3770;9.4;-1.08;2 
40127;857;1656;60;1.167;1229;0;32.3;3770;9.6;-1.08;2 
